Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,MathScore
female,,bachelor's degree,standard,none,married,regularly,yes,3,school_bus,71
female,group C,some college,standard,,married,sometimes,yes,0,,69
female,group B,master's degree,standard,none,single,sometimes,yes,4,school_bus,87
male,group A,associate's degree,free/reduced,none,married,never,no,1,,45
male,group C,some college,standard,none,married,sometimes,yes,0,school_bus,76
female,group B,associate's degree,standard,none,married,regularly,yes,1,school_bus,73
female,group B,some college,standard,completed,widowed,never,no,1,private,85
male,group B,some college,free/reduced,none,married,sometimes,yes,1,private,41
male,group D,high school,free/reduced,completed,single,sometimes,no,3,private,65
female,group B,high school,free/reduced,none,married,regularly,yes,,private,37
male,group C,associate's degree,standard,none,,sometimes,yes,1,private,58
male,group D,associate's degree,standard,none,divorced,sometimes,yes,1,school_bus,40
female,group B,high school,standard,none,married,regularly,no,1,private,66
male,group A,some college,standard,completed,single,sometimes,yes,1,private,80
female,group A,master's degree,standard,none,divorced,sometimes,yes,2,private,48
female,group C,some high school,standard,none,married,sometimes,yes,0,private,69
male,group C,high school,standard,,married,sometimes,yes,0,school_bus,88
female,group B,some high school,free/reduced,none,divorced,sometimes,yes,1,school_bus,18
male,group C,master's degree,free/reduced,completed,single,sometimes,no,1,private,46
female,group C,associate's degree,free/reduced,none,married,never,yes,3,private,50
male,group D,high school,standard,none,married,sometimes,yes,5,school_bus,66
female,group B,some college,free/reduced,completed,married,sometimes,no,2,school_bus,65
male,group D,,standard,none,married,never,yes,5,,42
female,group C,some high school,standard,none,divorced,never,no,3,,66
male,group D,,free/reduced,completed,married,sometimes,yes,2,school_bus,74
male,group A,master's degree,free/reduced,none,married,regularly,yes,1,school_bus,75
male,group B,some college,standard,none,married,sometimes,yes,5,school_bus,66
female,group C,bachelor's degree,standard,none,married,sometimes,yes,4,school_bus,69
male,group C,high school,standard,none,married,sometimes,no,1,private,70
female,group D,some college,standard,none,single,sometimes,yes,0,private,66
female,group B,some college,standard,none,single,sometimes,yes,5,,63
female,group E,master's degree,free/reduced,none,divorced,sometimes,yes,1,school_bus,56
male,,some college,standard,none,married,sometimes,no,2,private,40
male,group E,some college,standard,none,divorced,sometimes,yes,0,school_bus,97
male,group E,associate's degree,standard,completed,single,sometimes,no,,school_bus,81
female,group D,associate's degree,standard,none,married,regularly,no,2,private,76
female,group D,some high school,free/reduced,none,married,regularly,yes,1,private,51
female,group D,associate's degree,free/reduced,completed,married,regularly,no,1,school_bus,77
male,group B,associate's degree,free/reduced,none,single,regularly,yes,5,school_bus,58
male,group C,associate's degree,free/reduced,none,married,never,yes,0,school_bus,53
female,group C,associate's degree,standard,none,divorced,regularly,no,1,,59
male,group B,some college,free/reduced,,married,regularly,yes,3,school_bus,60
female,group E,associate's degree,free/reduced,none,married,sometimes,yes,5,school_bus,48
male,group B,associate's degree,standard,none,single,sometimes,yes,3,school_bus,63
female,group C,high school,standard,none,married,regularly,yes,,private,67
male,group C,high school,standard,completed,married,sometimes,,3,,82
male,group E,some college,standard,none,married,,no,3,school_bus,54
male,,associate's degree,free/reduced,completed,married,regularly,no,2,private,76
male,group C,some college,standard,none,divorced,regularly,yes,3,school_bus,56
male,group D,high school,standard,none,single,sometimes,yes,2,school_bus,88
female,,some high school,free/reduced,completed,married,regularly,yes,,private,75
female,group C,high school,free/reduced,none,divorced,sometimes,yes,2,private,33
female,group E,associate's degree,standard,completed,married,sometimes,yes,3,school_bus,84
